Fach,Dauer (Minuten),Datum,ID,Notiz,Tagesziel
Mathe,50,2025-06-01,edc97b3e-c06f-4a0e-a180-2e1fe68cd5ff,Gleichungen,
BWR,25,2025-05-29,35abee44-5392-48f5-b9d1-9ca064190c1d,,
Mathe,45,2025-06-02,d0e3af03-3064-4637-bc59-a95e5af75dcc,brüche,
Mathe,20,2025-06-04,0b950b88-a104-41bc-bb98-e2a85ebacbc6,,
Englisch,30,2025-06-04,e5e87d14-c042-4862-934a-b84b312b2869,,
physik,40,2025-06-04,da21467a-2281-444b-b7ac-43e186ce3879,,
Mathe,15,2025-06-04,3e465b86-0871-40e7-b511-43c38e16c08a,,
Mathe,90,2025-06-05,7e71d484-ba1f-45d6-96e9-d47634332cbe,,
Mathe,90,2025-06-04,4a533e4a-7b6c-42df-9a16-5815ec7d1567,,
Mathe,90,2025-06-06,95feb2eb-bfb1-451b-8d52-77837fdf788b,,
